name,RA,DEC,Reff,r_mag,g_mag,axis_ratio,pos_angle,n,u,g,r,i,ue,ge,re,ie,Reffe,r_mage,ne,C,mue_r,bae,RFF
UDGcand_5329,51.598079681396484,-36.069007873535156,0.8514800071716309,20.939899444580078,-1.0,0.9059000015258789,70.91729736328125,1.2026000022888184,23.48593521118164,23.128767013549805,21.944717407226562,21.585926055908203,0.06656552106142044,0.07750637084245682,0.04706846550107002,0.041547924280166626,0.05642327293753624,0.07262399047613144,0.07373736798763275,2.821357250213623,22.478347778320312,0.017371876165270805,-99.0
UDGcand_5330,52.00370407104492,-36.422760009765625,4.150839805603027,18.07990074157715,-1.0,0.41690000891685486,50.242000579833984,7.8541998863220215,22.233739852905273,20.656902313232422,19.06944465637207,18.46600914001465,0.11164239048957825,0.04724366217851639,0.03245532512664795,0.04020657390356064,0.24129490554332733,0.0630960687994957,0.06606355309486389,4.225490093231201,22.215534210205078,0.015601682476699352,-99.0
UDGcand_5331,52.312339782714844,-36.2301025390625,2.6767799854278564,18.616600036621094,-1.0,0.6836000084877014,-62.9724006652832,1.603700041770935,21.246685028076172,20.758529663085938,19.55853843688965,19.11876678466797,0.05100585147738457,0.043525099754333496,0.03334740921854973,0.040333982557058334,0.16527631878852844,0.06731700152158737,0.06949228793382645,3.313789129257202,22.336544036865234,0.016393151134252548,-99.0
UDGcand_5332,51.57572555541992,-36.89002990722656,2.4166998863220215,19.958200454711914,-1.0,0.3034000098705292,-11.538299560546875,0.845300018787384,23.422147750854492,22.516069412231445,21.112268447875977,20.526674270629883,0.09405478090047836,0.07047893851995468,0.04024312645196915,0.04073807969689369,0.16797882318496704,0.07644736766815186,0.0767536386847496,3.231318235397339,22.574228286743164,0.018066532909870148,-99.0
UDGcand_5334,52.448856353759766,-36.85246658325195,4.749839782714844,19.449600219726562,-1.0,0.7633000016212463,47.14580154418945,8.369400024414062,24.98417091369629,21.928543090820312,20.232444763183594,19.60248374938965,2.924422025680542,0.20101416110992432,0.0571603886783123,0.04574843496084213,0.8768571019172668,0.2182503491640091,0.17421893775463104,3.7666382789611816,24.53460693359375,0.040275029838085175,-99.0
UDGcand_5335,52.70311737060547,-36.78712463378906,2.5441598892211914,18.55970001220703,-1.0,0.8216999769210815,-42.513099670410156,4.235599994659424,22.438980102539062,21.023513793945312,19.38698959350586,18.713624954223633,0.10303134471178055,0.04994553327560425,0.0328865610063076,0.040198858827352524,0.15965525805950165,0.06849932670593262,0.07044418156147003,3.61551833152771,22.36907958984375,0.01661272719502449,-99.0
UDGcand_5336,52.24753189086914,-36.3625602722168,4.296800136566162,18.48740005493164,-1.0,0.6349999904632568,89.04290008544922,5.082300186157227,21.9221248626709,20.64592170715332,19.359373092651367,18.840837478637695,0.13093459606170654,0.0585140734910965,0.03566848486661911,0.04082537442445755,0.3988775312900543,0.10430831462144852,0.09784820675849915,4.225490093231201,23.15493392944336,0.02290908247232437,-99.0
UDGcand_5337,51.7138671875,-36.23630905151367,5.22790002822876,18.685699462890625,-1.0,0.8192999958992004,-51.80970001220703,10.0,22.294666290283203,20.969581604003906,19.4910888671875,18.906564712524414,0.32715052366256714,0.11355140060186386,0.04431987181305885,0.042820099741220474,0.760272204875946,0.16892126202583313,0.14260978996753693,3.184110403060913,24.055818557739258,0.033113379031419754,-99.0
UDGcand_5338,52.01734924316406,-36.25602340698242,0.7794600129127502,21.972000122070312,-1.0,0.47110000252723694,-37.24769973754883,0.8948000073432922,24.023468017578125,24.077495574951172,23.3021297454834,22.803943634033203,0.06542053818702698,0.10660655796527863,0.07366222143173218,0.044134944677352905,0.05511495843529701,0.07786762714385986,0.07786562293767929,1.8398839235305786,22.608627319335938,0.018322473391890526,-99.0
UDGcand_5339,52.522239685058594,-36.738956451416016,2.3925600051879883,20.270299911499023,-1.0,0.1785999983549118,28.494199752807617,1.2969000339508057,25.25750160217285,23.493379592895508,21.893497467041016,21.287757873535156,0.25783729553222656,0.10005560517311096,0.047129929065704346,0.041159212589263916,0.14428271353244781,0.06563272327184677,0.06812992691993713,2.5407774448394775,22.28919219970703,0.016078777611255646,-99.0
